id,x,y,x*0.01,y*0.01
1,5,377,0.05,3.77
2,4,177,0.04,1.77
3,8,111,0.08,1.11
4,12,289,0.12,2.89
5,18,185,0.18,1.85
6,20,46,0.2,0.46
7,25,501,0.25,5.01
8,27,132,0.27,1.32
9,27,76,0.27,0.76
10,30,251,0.3,2.51
11,31,340,0.31,3.4
12,36,270,0.36,2.7
13,41,498,0.41,4.98
14,43,229,0.43,2.29
15,54,388,0.54,3.88
16,67,31,0.67,0.31
17,67,296,0.67,2.96
18,76,395,0.76,3.95
19,74,224,0.74,2.24
20,75,84,0.75,0.84
21,80,47,0.8,0.47
22,84,254,0.84,2.54
23,85,317,0.85,3.17
24,107,509,1.07,5.09
25,105,243,1.05,2.43
26,114,216,1.14,2.16
27,111,145,1.11,1.45
28,117,372,1.17,3.72
29,116,240,1.16,2.4
30,125,167,1.25,1.67
31,126,14,1.26,0.14
32,130,423,1.3,4.23
33,132,294,1.32,2.94
34,139,357,1.39,3.57
35,145,308,1.45,3.08
36,149,340,1.49,3.4
37,151,23,1.51,0.23
38,152,164,1.52,1.64
39,158,377,1.58,3.77
40,161,355,1.61,3.55
41,162,219,1.62,2.19
42,166,325,1.66,3.25
43,169,276,1.69,2.76
44,173,126,1.73,1.26
45,172,180,1.72,1.8
46,175,140,1.75,1.4
47,179,465,1.79,4.65
48,182,241,1.82,2.41
49,186,360,1.86,3.6
50,184,151,1.84,1.51
51,192,394,1.92,3.94
52,199,139,1.99,1.39
53,206,245,2.06,2.45
54,202,98,2.02,0.98
55,205,322,2.05,3.22
56,207,427,2.07,4.27
57,210,457,2.1,4.57
58,215,98,2.15,0.98
59,215,343,2.15,3.43
60,222,175,2.22,1.75
61,230,319,2.3,3.19
62,234,248,2.34,2.48
63,233,356,2.33,3.56
64,233,497,2.33,4.97
65,239,389,2.39,3.89
66,245,140,2.45,1.4
67,250,168,2.5,1.68
68,255,224,2.55,2.24
69,262,283,2.62,2.83
70,259,249,2.59,2.49
71,258,121,2.58,1.21
72,264,52,2.64,0.52
73,262,158,2.62,1.58
74,275,227,2.75,2.27
75,275,364,2.75,3.64
76,274,317,2.74,3.17
77,277,395,2.77,3.95
78,285,143,2.85,1.43
79,299,119,2.99,1.19
80,299,205,2.99,2.05
81,313,135,3.13,1.35
82,320,27,3.2,0.27
83,331,107,3.31,1.07
84,332,230,3.32,2.3
85,347,286,3.47,2.86
86,348,129,3.48,1.29
87,354,495,3.54,4.95
88,355,188,3.55,1.88
89,358,164,3.58,1.64
90,371,325,3.71,3.25
91,379,170,3.79,1.7
92,385,113,3.85,1.13
93,389,154,3.89,1.54
94,390,41,3.9,0.41
95,404,232,4.04,2.32
96,403,440,4.03,4.4
97,411,511,4.11,5.11
98,410,306,4.1,3.06
99,413,284,4.13,2.84
100,416,327,4.16,3.27
101,421,154,4.21,1.54
102,423,196,4.23,1.96
103,438,22,4.38,0.22
104,436,130,4.36,1.3
105,436,435,4.36,4.35
106,444,322,4.44,3.22
107,447,260,4.47,2.6
108,463,270,4.63,2.7
109,469,220,4.69,2.2
110,472,264,4.72,2.64
111,474,289,4.74,2.89
112,481,382,4.81,3.82
113,497,132,4.97,1.32
114,496,331,4.96,3.31
115,503,280,5.03,2.8
116,510,304,5.1,3.04
117,513,234,5.13,2.34
118,513,189,5.13,1.89
119,527,212,5.27,2.12
120,543,276,5.43,2.76
121,549,512,5.49,5.12
122,548,257,5.48,2.57
123,557,222,5.57,2.22
124,565,234,5.65,2.34
125,560,418,5.6,4.18
126,576,307,5.76,3.07
127,580,328,5.8,3.28
128,585,138,5.85,1.38
129,583,261,5.83,2.61
130,584,512,5.84,5.12
131,586,486,5.86,4.86
132,607,175,6.07,1.75
133,611,267,6.11,2.67
134,613,315,6.13,3.15
135,627,398,6.27,3.98
136,632,105,6.32,1.05
137,633,504,6.33,5.04
138,640,189,6.4,1.89
139,676,317,6.76,3.17
