cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139
10769,9098.6,8246.3,12389,9077.8,9797.3,8593.1,9968.8,8731,10888,11924,11039,9086.5,10077,10652,8866.2,12326,11813,9916.7,8422.4,9436,10692,12921,9480.8,11130,12121,10064,11745,12250,10676,8590.9,11164,11125,10988,10749,11504,9030,10360,11074,11045,10953,12371,10902,9486.5,12342,9837.5,10785,10893,11809,11712,11644,10700,11403,10231,10969,10972,9533.3,10026,10990,10824,11368,10595,11250,8072.5,11159,9353.7,11723,11848,11110,11335,9371.8,8129,10524,12408,11772,13383,10352,9539.8,9011.8,11238,10032,7958.7,9915.3,11182,11220,10265,8029.2,10975,10412,11040,10292,8906,9973.9,8280.5,10815,9968.8,7878,13992,11988,11747,9416.7,10364,7838.9,9762.8,9059.6,12632,10952,10951,10180,10912,10855,10472,9284.5,12212,10995,11011,11069,10588,10218,10979,7952.4,10673,11210,9636.4,9296.3,9800,9439,9442.3,10106,7939,7255.8,9800,9945.8,9714.3,9609.4,8807.2,6065.6,8090.9,7967.9
10854,9154.9,8246.3,12398,9022.2,9797.3,8475.9,9943.8,8758.6,10901,11864,11026,9083,10071,10609,8858.7,12353,11731,9909.7,8403.7,9448,10671,12934,9423.1,11096,12121,10053,11679,12260,10656,8704.5,11149,11087,10964,10709,11513,9011.2,10345,11093,11023,10947,12371,10860,9630.6,12268,9837.5,10822,10837,11756,11803,11627,10790,11391,10231,10887,10931,9477.8,10079,10980,10777,11342,10571,11232,8096.6,11091,9390.2,11679,11765,11092,11306,9243.6,8177.4,10476,12392,11759,13376,10378,9454.5,9029.4,11208,9967.7,7917.4,9892.7,11139,11212,10248,8029.2,10985,10288,11053,10242,8820.5,9982.6,8329.3,10790,9864.6,7869.9,13970,11938,11747,9342.1,10394,7866.7,9666.7,9026.5,12585,10940,10915,10227,10835,10839,10361,9306,12200,10975,11049,11117,10655,10207,10932,7971.4,10621,11174,9662.3,9333.3,9762.5,9430.9,9432.7,10097,7914.6,7255.8,9762.5,9939.8,9675.3,9593.8,8801.2,6098.4,8084.8,7959.9
10769,9140.8,8209,12398,9122.2,9765.8,8531,9975,8744.8,10975,11909,11065,9117.6,10101,10701,8869.9,12332,11813,9944.4,8416.1,9440,10692,12903,9394.2,11082,12151,10128,11764,12260,10688,8602.3,11134,11106,10982,10753,11513,9007.5,10317,11056,11040,10988,12358,10846,9558.6,12325,9887.5,10763,10831,11828,11750,11619,10760,11399,10242,10969,10944,9477.8,10099,11005,10786,11383,10578,11310,8053.1,11205,9341.5,11723,11848,11053,11353,9269.2,8134.4,10495,12376,11765,13411,10401,9517,8994.1,11187,9962.4,7950.4,9892.7,11155,11190,10282,8070.2,10949,10314,11024,10258,8829.1,9982.6,8304.9,10810,9875,7829.3,13970,11894,11780,9425.4,10345,7888.9,9730.8,9059.6,12599,10934,10939,10180,10912,10855,10403,9232.8,12212,11000,11011,11076,10639,10259,10890,7961.9,10634,11188,9636.4,9456.8,9787.5,9561,9442.3,10062,7890.2,7302.3,9787.5,9951.8,9714.3,9671.9,8789.2,6065.6,8097,7973.3
10785,9084.5,8238.8,12412,9072.2,9801.8,8489.7,9937.5,8703.4,10882,11843,11026,9090,10047,10652,8847.6,12337,11751,9888.9,8409.9,9380,10720,12881,9471.2,11055,12121,10074,11783,12219,10625,8625,11104,11058,11012,10744,11496,9022.5,10331,11139,11062,10936,12333,10893,9531.5,12307,9825,10800,10854,11775,11758,11610,10700,11452,10242,10918,10931,9500,10086,11025,10754,11378,10584,11315,8077.3,11227,9341.5,11723,11818,11096,11406,9320.5,8145.2,10457,12339,11753,13397,10431,9494.3,9023.5,11211,9983.9,7917.4,9926.6,11193,11212,10197,7994.2,10944,10307,11070,10267,8854.7,9973.9,8256.1,10856,9812.5,7878,13985,11975,11767,9364,10345,7855.6,9717.9,9033.1,12577,10867,10939,10297,10868,10879,10403,9241.4,12288,10975,11011,11055,10639,10244,10884,7961.9,10641,11167,9584.4,9580.2,9825,9487.8,9384.6,10080,7902.4,7209.3,9725,9939.8,9740.3,9500,8759,6213.1,8066.7,7981.3
10746,9140.8,8209,12412,9061.1,9747.7,8531,9931.2,8731,10882,11833,11045,9093.4,10071,10620,8803,12299,11756,9909.7,8459.6,9448,10622,12903,9432.7,11082,12138,10096,11717,12219,10660,8613.6,11201,11096,10940,10727,11491,8992.5,10367,11139,11023,10942,12346,10860,9585.6,12338,9862.5,10881,10882,11823,11712,11610,10730,11407,10286,10918,11028,9577.8,10099,11005,10789,11332,10541,11280,8087,11136,9365.9,11665,11848,11092,11329,9359,8166.7,10429,12359,11691,13376,10431,9517,8994.1,11205,9967.7,7942.1,9932.2,11187,11247,10256,8040.9,10965,10333,11029,10192,8871.8,10009,8329.3,10841,9854.2,7837.4,13992,11919,11793,9425.4,10370,7833.3,9705.1,9039.7,12581,10970,10927,10242,10813,10863,10403,9258.6,12188,11000,11016,11069,10664,10248,10911,8009.5,10627,11188,9519.5,9691.4,9837.5,9536.6,9413.5,10062,7914.6,7255.8,9750,9933.7,9714.3,9578.1,8789.2,6114.8,8048.5,7978.6
10762,9098.6,8231.3,12412,9061.1,9783.8,8558.6,9881.2,8744.8,10876,11843,11052,9096.9,10083,10652,8799.3,12353,11819,9895.8,8397.5,9396,10699,12877,9461.5,11096,12134,10053,11698,12260,10644,8647.7,11134,11048,10970,10744,11500,9015,10338,11120,11011,10977,12352,10869,9558.6,12298,9725,10800,10809,11804,11735,11559,10810,11452,10253,10990,10944,9477.8,10072,11020,10821,11404,10608,11310,8077.3,11273,9341.5,11688,11864,11088,11365,9269.2,8155.9,10467,12359,11741,13369,10365,9505.7,9000,11157,10011,7950.4,9926.6,11198,11212,10239,8070.2,10970,10261,11027,10242,8888.9,10009,8365.9,10836,9895.8,7878,13939,11975,11780,9407.9,10382,7872.2,9692.3,9019.9,12610,10970,10915,10211,10846,10871,10458,9271.6,12225,10995,11055,11076,10546,10222,10904,7961.9,10608,11210,9584.4,9765.4,9737.5,9455.3,9461.5,10062,7890.2,7255.8,9800,9951.8,9714.3,9562.5,8771.1,6213.1,8060.6,7981.3
10692,9112.7,8194,12376,9072.2,9770.3,8482.8,9956.2,8724.1,10925,11864,10981,9076.1,10083,10647,8814.1,12326,11736,9875,8403.7,9428,10664,12850,9548.1,11034,12134,10096,11717,12260,10672,8704.5,11090,11115,10976,10736,11469,9011.2,10374,11120,11034,10930,12358,10864,9495.5,12272,9850,10830,10882,11804,11780,11627,10720,11367,10176,10969,10972,9411.1,10099,11000,10812,11332,10564,11274,8101.4,11159,9378,11710,11833,11057,11406,9320.5,8150.5,10438,12343,11741,13433,10405,9528.4,9035.3,11241,9983.9,7917.4,9909.6,11128,11241,10274,8076,10965,10366,11045,10308,8854.7,10000,8304.9,10882,9895.8,7902.4,13962,11957,11700,9381.6,10370,7833.3,9692.3,9026.5,12574,10904,10976,10227,10824,10847,10431,9293.1,12188,10985,11022,11041,10681,10241,10890,7923.8,10621,11203,9623.4,9716,9800,9471.5,9442.3,10080,7902.4,7348.8,9750,9927.7,9649.4,9625,8789.2,6082,8121.2,7959.9
10777,9126.8,8238.8,12416,9044.4,9779.3,8531,9950,8731,10913,11823,11032,9058.8,10059,10658,8814.1,12358,11731,9888.9,8391.3,9416,10713,12868,9384.6,11151,12125,10117,11726,12302,10644,8613.6,11119,11077,10958,10736,11522,9007.5,10317,11167,10994,10930,12346,10864,9531.5,12294,9800,10815,10893,11813,11773,11593,10690,11415,10209,10918,10931,9466.7,10066,10990,10766,11425,10574,11280,8082.1,11159,9390.2,11701,11848,11075,11388,9243.6,8129,10438,12351,11722,13404,10388,9517,9005.9,11199,9978.5,7909.1,9920.9,11155,11217,10256,8099.4,10965,10268,11037,10233,8829.1,9965.2,8390.2,10810,9906.2,7837.4,13924,11963,11787,9355.3,10345,7833.3,9653.8,9033.1,12529,10988,10854,10281,10901,10839,10333,9254.3,12188,11010,11022,11083,10555,10259,10925,7952.4,10660,11174,9558.4,9938.3,9887.5,9512.2,9471.2,10062,7926.8,7232.6,9837.5,9939.8,9740.3,9640.6,8801.2,6114.8,8090.9,7967.9
10800,9098.6,8201.5,12434,9050,9756.8,8469,9981.2,8744.8,10851,11848,11026,9055.4,10059,10723,8832.7,12332,11699,9902.8,8422.4,9396,10699,12934,9432.7,11021,12086,10181,11679,12260,10617,8579.5,11127,11135,10958,10771,11496,9003.7,10360,11111,11062,10930,12308,10888,9558.6,12263,9800,10778,10831,11804,11712,11653,10710,11423,10198,10876,10944,9533.3,10020,10931,10772,11316,10618,11298,8053.1,11068,9414.6,11710,11871,11061,11318,9294.9,8096.8,10390,12355,11790,13376,10336,9465.9,9005.9,11178,10005,7917.4,9909.6,11144,11233,10308,8076,10965,10333,11003,10192,8888.9,9973.9,8292.7,10826,9885.4,7845.5,13962,11919,11733,9359.6,10309,7833.3,9641,9019.9,12562,10958,10866,10234,10802,10847,10375,9250,12138,10975,11027,11062,10630,10226,10870,7971.4,10569,11203,9610.4,10099,9837.5,9561,9403.8,10053,7914.6,7279.1,9825,9927.7,9714.3,9609.4,8801.2,6082,8036.4,7946.5
10769,9084.5,8186.6,12412,9044.4,9792.8,8558.6,9906.2,8710.3,10888,11879,11013,9114.2,10071,10614,8847.6,12299,11767,9881.9,8366.5,9476,10720,12899,9432.7,11068,12056,10085,11689,12260,10609,8636.4,11149,11096,10994,10775,11455,9052.4,10353,11074,11040,10982,12390,10836,9486.5,12316,9812.5,10815,10876,11789,11833,11551,10740,11395,10253,10938,10972,9588.9,10053,10985,10818,11301,10574,11244,8062.8,11205,9329.3,11710,11917,11057,11335,9256.4,8193.5,10505,12335,11790,13362,10349,9573.9,9029.4,11196,10011,7958.7,9904,11176,11185,10265,8117,10970,10346,11043,10333,8880.3,10035,8329.3,10831,9895.8,7886.2,13947,11863,11760,9364,10412,7888.9,9730.8,9013.2,12566,10952,10951,10234,10835,10855,10486,9275.9,12212,11015,11022,11062,10613,10222,10904,8009.5,10693,11225,9688.3,10185,9812.5,9495.9,9432.7,10080,7926.8,7232.6,9837.5,9903.6,9623.4,9515.6,8795.2,6163.9,8060.6,7986.6
